ID,RoundID,SlotOrder,SpawnTime,DrawCount,CandidateCount,WeightSum
1,1,1,Sun Dec 31 1899 15:57:52 GMT+0827 (한국 표준시),1,1,0
2,1,2,Sat Dec 30 1899 17:57:52 GMT+0827 (한국 표준시),1,3,1000
3,1,3,Sat Dec 30 1899 19:57:52 GMT+0827 (한국 표준시),1,3,1000
4,2,1,Sun Dec 31 1899 15:57:52 GMT+0827 (한국 표준시),1,1,0
5,2,2,Sat Dec 30 1899 17:57:52 GMT+0827 (한국 표준시),1,3,1000
6,2,3,Sat Dec 30 1899 19:57:52 GMT+0827 (한국 표준시),1,3,1000
7,3,1,Sun Dec 31 1899 15:57:52 GMT+0827 (한국 표준시),1,1,0
8,3,2,Sat Dec 30 1899 17:57:52 GMT+0827 (한국 표준시),1,3,1000
9,3,3,Sat Dec 30 1899 19:57:52 GMT+0827 (한국 표준시),1,3,1000
10,4,1,Sun Dec 31 1899 15:57:52 GMT+0827 (한국 표준시),1,3,1000
11,4,2,Sat Dec 30 1899 17:57:52 GMT+0827 (한국 표준시),1,3,1000
12,4,3,Sat Dec 30 1899 19:57:52 GMT+0827 (한국 표준시),1,1,0
